Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) Média;DY (6M) Média;DY (12M) Média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líq.;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. no Período;Rentab. Patr. Acumulada;Vacância Física;Vacância Financeira;Quantidade Ativos
KINP11;Residencial;12.70;2567;0.30;2.35;6.93;0.00;0.00;2.31;0.00;0.00;6.93;-4.83;-2.60;-2.09;50442483.46;7.06;1.80;3.96;-1.31;2.61;7.63;;;0
KNRI11;Híbrido;137.89;24301;0.81;0.59;1.81;3.60;6.57;0.60;0.60;0.55;1.81;3.12;3.73;5.34;3797233579.76;157.19;0.88;0.52;-0.25;0.27;0.78;2.00;6.72;20
HGRU11;Híbrido;114.15;32301;0.82;0.73;2.07;4.02;7.78;0.69;0.67;0.65;2.07;-0.80;-0.07;-0.50;2183937740.13;118.65;0.96;0.64;-0.08;0.56;1.21;0.00;0.00;17
HGRE11;Lajes Corporativas;127.00;22661;0.69;0.56;1.61;4.75;8.35;0.54;0.79;0.70;1.61;-5.40;-4.87;-5.48;1950300222.04;165.03;0.77;0.42;0.00;0.42;0.42;27.13;29.17;21
VCJR11;Títulos e Val Mob;98.23;18235;1.13;1.16;3.53;7.85;13.46;1.18;1.31;1.12;3.53;-0.15;1.00;3.31;1260864667.15;94.34;1.04;1.14;-0.02;1.13;2.47;;;0
HGFF11;Títulos e Val Mob;71.95;5879;0.62;0.86;2.44;4.78;8.50;0.81;0.80;0.71;2.44;1.82;2.69;-2.54;25341374.27;88.36;0.81;0.66;-1.45;-0.81;-0.16;;;0
HREC11;Títulos e Val Mob;96.00;12;0.95;0.98;2.83;5.75;10.79;0.94;0.96;0.90;2.83;-1.45;-0.49;3.96;425213661.46;91.31;1.05;0.99;-0.70;0.28;1.26;;;0
HLOG11;Logística;90.70;832;0.65;0.72;2.12;4.05;7.46;0.71;0.68;0.62;2.12;-1.57;-0.86;-0.80;478192752.62;112.52;0.81;0.58;-0.09;0.49;1.07;58.00;0.00;3
HFOF11;Títulos e Val Mob;75.63;26088;0.60;0.80;2.34;4.57;8.42;0.78;0.76;0.70;2.34;-2.62;-1.84;-2.86;193149373.41;84.01;0.90;0.71;-0.82;-0.11;0.60;;;0
BRCO11;Logística;98.84;31056;0.63;0.65;1.92;3.83;7.02;0.64;0.64;0.59;1.92;-2.61;-1.98;2.12;1755760912.93;118.80;0.83;0.53;0.06;0.59;1.12;0.00;0.00;10
MALL11;Shoppings;102.64;17622;0.72;0.72;2.19;4.26;7.36;0.73;0.71;0.61;2.19;1.34;2.07;6.15;826318263.29;109.30;0.94;0.66;0.00;0.66;0.66;4.00;;8
XPSF11;Outros;70.37;13599;0.67;0.96;2.69;5.41;10.33;0.90;0.90;0.86;2.69;-3.13;-2.20;-9.51;370250982.09;85.50;0.82;0.77;-2.97;-2.22;-1.50;;;0
PQAG11;Logística;56.85;8;0.40;0.71;2.10;3.95;7.40;0.70;0.66;0.62;2.10;-0.82;-0.12;2.12;79567006.03;56.87;1.00;0.70;0.01;0.71;1.40;0.00;;1
HAAA11;Lajes Corporativas;94.49;10;0.54;0.56;1.69;3.40;6.58;0.56;0.57;0.55;1.69;-0.35;0.21;1.54;3277858.40;94.67;1.00;0.57;-0.15;0.42;0.99;17.00;;1
FIGS11;Shoppings;54.89;1125;0.37;0.68;2.04;3.87;6.21;0.68;0.65;0.52;2.04;2.03;2.72;1.66;283551127.39;99.49;0.55;0.37;-0.14;0.23;0.60;13.70;;2
JSAF11;Títulos e Val Mob;82.60;2824;0.93;1.11;0.00;0.00;0.00;0.00;0.00;0.00;3.29;1.11;2.24;4.48;151918738.31;96.58;0.86;0.93;-0.97;-0.05;0.88;;;0
KNCR11;Títulos e Val Mob;101.50;54624;1.00;0.98;2.63;4.67;7.39;0.88;0.78;0.62;2.63;2.21;3.21;5.02;3945434547.87;100.91;1.01;0.82;-0.05;0.77;1.59;;;0
JSRE11;Híbrido;72.77;28326;0.49;0.67;2.02;4.14;7.78;0.67;0.69;0.65;2.02;-5.34;-4.71;-6.35;2368106428.64;114.03;0.64;0.46;-0.01;0.45;0.92;14.80;13.40;5
JPPA11;Títulos e Val Mob;99.87;1303;1.55;1.55;4.31;8.12;14.22;1.44;1.35;1.18;4.31;1.26;2.83;6.78;62912690.40;104.17;0.96;1.44;-1.62;-0.21;0.92;;;0
PORD11;Títulos e Val Mob;91.95;62212;1.22;1.29;3.71;7.04;12.62;1.24;1.17;1.05;3.71;0.05;1.35;4.62;368656944.24;98.88;0.93;1.11;-0.43;0.67;1.86;;;0
XPPR11;Outros;59.50;21012;0.45;0.80;2.27;4.87;9.46;0.76;0.81;0.79;2.27;-4.27;-3.50;-10.15;577562461.09;78.94;0.75;0.57;-3.56;-3.01;-2.48;46.00;0.00;4
